Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1966.722,14.8637,42.0822,0.277532,2.1219,10.3741,16.314,1952.6943,1966.4943
Gabo-13,1966.8744,14.839,42.4333,0.298171,2.1152,10.2247,15.9407,1952.8467,1966.6467
Gabo-13,1967.0268,14.7989,42.8987,0.309848,2.1039,10.096,15.5305,1952.999,1966.799
Gabo-13,1967.1792,14.7416,42.5797,0.311711,2.0982,10.0201,15.2735,1953.1514,1966.9514
Gabo-13,1967.3316,14.6062,39.845,0.306851,2.1013,9.9993,15.3831,1953.3037,1967.1037
Gabo-13,1967.484,14.5262,39.6585,0.293933,2.1061,10.0033,15.5392,1953.4561,1967.2561
Gabo-13,1967.6364,14.5031,41.5071,0.273349,2.1101,9.9984,15.3791,1953.6085,1967.4085
Gabo-13,1967.7888,14.5009,43.4781,0.248613,2.1171,9.9532,14.9564,1953.7608,1967.5608
Gabo-13,1967.9412,14.5175,44.5292,0.226951,2.1291,9.836,14.5098,1953.9132,1967.7132
Gabo-13,1968.0936,14.5558,43.9523,0.218309,2.1398,9.649,13.8907,1954.0655,1967.8655
Gabo-13,1968.246,14.6351,42.1604,0.220582,2.144,9.4219,13.1311,1954.2179,1968.0179
Gabo-13,1968.3984,14.7587,39.6809,0.225665,2.1423,9.1919,12.5635,1954.3703,1968.1703
Gabo-13,1968.5508,14.9136,37.0293,0.231429,2.1384,9.0079,12.4704,1954.5226,1968.3226
Gabo-13,1968.7032,14.9639,35.8215,0.247338,2.1361,8.93,12.5964,1954.675,1968.475
Gabo-13,1968.8556,14.9317,36.0267,0.270784,2.1348,8.9848,12.5034,1954.8274,1968.6274
Gabo-13,1969.008,14.8633,37.2633,0.28589,2.1356,9.1305,12.2845,1954.9797,1968.7797
Gabo-13,1969.1604,14.7841,39.3553,0.277849,2.1427,9.3077,12.184,1955.1321,1968.9321
Gabo-13,1969.3128,14.7631,45.1529,0.252765,2.1604,9.5353,11.9025,1955.2844,1969.0844
Gabo-13,1969.4652,14.767,56.9949,0.239169,2.1888,9.8759,11.3364,1955.4368,1969.2368
Gabo-13,1969.6176,14.8243,72.6978,0.248369,2.2283,10.2743,10.6046,1955.5892,1969.3892
Gabo-13,1969.77,14.9746,88.5132,0.264324,2.2824,10.5627,9.7766,1955.7415,1969.5415
Gabo-13,1969.9224,15.0667,94.8164,0.264207,2.3539,10.5161,8.8694,1955.8939,1969.6939
Gabo-13,1970.0748,15.1114,94.2767,0.269243,2.4287,10.0722,7.9435,1956.0462,1969.8462
Gabo-13,1970.2272,15.1393,92.7784,0.288564,2.4783,9.4257,7.0999,1956.1986,1969.9986
Gabo-13,1970.3796,15.1697,93.8437,0.31005,2.4762,8.77,6.4158,1956.351,1970.151
Gabo-13,1970.532,15.2903,101.0628,0.32731,2.4141,8.1387,5.8259,1956.5033,1970.3033
Gabo-13,1970.6844,15.447,109.1024,0.344926,2.3293,7.5058,5.0807,1956.6557,1970.4557
Gabo-13,1970.8368,15.5639,113.647,0.356956,2.2656,6.9168,4.2642,1956.808,1970.608
Gabo-13,1970.9892,15.6176,114.1244,0.357253,2.2396,6.4594,3.547,1956.9604,1970.7604
Gabo-13,1971.1416,15.618,112.4106,0.351408,2.2418,6.1988,2.9253,1957.1128,1970.9128
Gabo-13,1971.294,15.604,107.1166,0.348401,2.2464,6.084,2.3935,1957.2651,1971.0651
Gabo-13,1971.4464,15.5995,100.5614,0.348073,2.2416,6.0209,2.0065,1957.4175,1971.2175
Gabo-13,1971.5988,15.5919,96.7883,0.352806,2.2313,5.9587,1.7217,1957.5699,1971.3699
Gabo-13,1971.7512,15.5432,101.1093,0.366045,2.2255,5.8782,1.3876,1957.7222,1971.5222
Gabo-13,1971.9036,15.5211,107.4905,0.381504,2.2298,5.7698,0.9614,1957.8746,1971.6746
Gabo-13,1972.056,15.512,110.5094,0.413233,2.2386,5.6297,0.6182,1958.0269,1971.8269
Gabo-13,1972.2084,15.5058,110.1017,0.473573,2.2433,5.4595,0.363,1958.1793,1971.9793
Gabo-13,1972.3608,15.5143,107.8389,0.544422,2.2428,5.2645,0.0653,1958.3317,1972.1317
Gabo-13,1972.5132,15.5186,107.211,0.575405,2.2483,5.0577,-0.2091,1958.484,1972.284
Gabo-13,1972.6656,15.5178,107.4316,0.562616,2.2664,4.8594,-0.314,1958.6364,1972.4364
Gabo-13,1972.818,15.5366,107.6063,0.519968,2.2934,4.6816,-0.2956,1958.7888,1972.5888
Gabo-13,1972.9704,15.5913,107.8543,0.465167,2.3193,4.527,-0.2854,1958.9411,1972.7411
Gabo-13,1973.1228,15.6121,111.2324,0.434018,2.3324,4.3893,-0.2775,1959.0935,1972.8935
Gabo-13,1973.2752,15.6465,114.8003,0.426469,2.3367,4.255,-0.1347,1959.2459,1973.0459
